Relative Compactness,Surface Area,Wall Area,Roof Area,Overall Height,Glazing Area,Average Temperature
0.86,588.0,294.0,147.0,7.0,0.1,28.585
0.86,588.0,294.0,147.0,7.0,0.1,26.255000000000006
0.86,588.0,294.0,147.0,7.0,0.1,26.700000000000006
0.86,588.0,294.0,147.0,7.0,0.1,28.5
0.82,612.5,318.5,147.0,7.0,0.1,25.42
0.82,612.5,318.5,147.0,7.0,0.1,24.47
0.82,612.5,318.5,147.0,7.0,0.1,24.075
0.82,612.5,318.5,147.0,7.0,0.1,25.545
0.79,637.0,343.0,147.0,7.0,0.1,38.62000000000001
0.79,637.0,343.0,147.0,7.0,0.1,36.2
0.79,637.0,343.0,147.0,7.0,0.1,35.665
0.79,637.0,343.0,147.0,7.0,0.1,39.635
0.76,661.5,416.5,122.5,7.0,0.1,33.415
0.76,661.5,416.5,122.5,7.0,0.1,33.095
0.76,661.5,416.5,122.5,7.0,0.1,33.54
0.76,661.5,416.5,122.5,7.0,0.1,32.94
0.74,686.0,245.0,220.5,3.5,0.1,11.895
0.74,686.0,245.0,220.5,3.5,0.1,12.07
0.74,686.0,245.0,220.5,3.5,0.1,11.92
0.74,686.0,245.0,220.5,3.5,0.1,12.045
0.71,710.5,269.5,220.5,3.5,0.1,12.255
0.71,710.5,269.5,220.5,3.5,0.1,12.54
0.71,710.5,269.5,220.5,3.5,0.1,12.285
0.71,710.5,269.5,220.5,3.5,0.1,12.51
0.69,735.0,294.0,220.5,3.5,0.1,12.695
0.69,735.0,294.0,220.5,3.5,0.1,12.87
0.69,735.0,294.0,220.5,3.5,0.1,12.695
0.69,735.0,294.0,220.5,3.5,0.1,12.805
0.66,759.5,318.5,220.5,3.5,0.1,12.79
0.66,759.5,318.5,220.5,3.5,0.1,12.705
0.66,759.5,318.5,220.5,3.5,0.1,12.79
0.66,759.5,318.5,220.5,3.5,0.1,12.67
0.64,784.0,343.0,220.5,3.5,0.1,17.39
0.64,784.0,343.0,220.5,3.5,0.1,17.314999999999998
0.64,784.0,343.0,220.5,3.5,0.1,17.38
0.64,784.0,343.0,220.5,3.5,0.1,17.265
0.62,808.5,367.5,220.5,3.5,0.1,13.65
0.62,808.5,367.5,220.5,3.5,0.1,13.735
0.62,808.5,367.5,220.5,3.5,0.1,13.63
0.62,808.5,367.5,220.5,3.5,0.1,13.645
0.98,514.5,294.0,110.25,7.0,0.1,25.12
0.98,514.5,294.0,110.25,7.0,0.1,24.97
0.98,514.5,294.0,110.25,7.0,0.1,25.13
0.98,514.5,294.0,110.25,7.0,0.1,25.07
0.9,563.5,318.5,122.5,7.0,0.1,30.71
0.9,563.5,318.5,122.5,7.0,0.1,29.56
0.9,563.5,318.5,122.5,7.0,0.1,29.095
0.9,563.5,318.5,122.5,7.0,0.1,31.05
0.86,588.0,294.0,147.0,7.0,0.1,28.695
0.86,588.0,294.0,147.0,7.0,0.1,26.325
0.86,588.0,294.0,147.0,7.0,0.1,26.845
0.86,588.0,294.0,147.0,7.0,0.1,28.63
0.82,612.5,318.5,147.0,7.0,0.1,25.565
0.82,612.5,318.5,147.0,7.0,0.1,24.625
0.82,612.5,318.5,147.0,7.0,0.1,24.235
0.82,612.5,318.5,147.0,7.0,0.1,25.79
0.79,637.0,343.0,147.0,7.0,0.1,38.36
0.79,637.0,343.0,147.0,7.0,0.1,35.94
0.79,637.0,343.0,147.0,7.0,0.1,35.42
0.79,637.0,343.0,147.0,7.0,0.1,39.445
0.76,661.5,416.5,122.5,7.0,0.1,33.535
0.76,661.5,416.5,122.5,7.0,0.1,33.235
0.76,661.5,416.5,122.5,7.0,0.1,33.645
0.76,661.5,416.5,122.5,7.0,0.1,33.095
0.74,686.0,245.0,220.5,3.5,0.1,11.905
0.74,686.0,245.0,220.5,3.5,0.1,12.09
0.74,686.0,245.0,220.5,3.5,0.1,11.945
0.74,686.0,245.0,220.5,3.5,0.1,12.12
0.71,710.5,269.5,220.5,3.5,0.1,12.155
0.71,710.5,269.5,220.5,3.5,0.1,12.415
0.71,710.5,269.5,220.5,3.5,0.1,12.175
0.71,710.5,269.5,220.5,3.5,0.1,12.445
0.69,735.0,294.0,220.5,3.5,0.1,12.325
0.69,735.0,294.0,220.5,3.5,0.1,12.5
0.69,735.0,294.0,220.5,3.5,0.1,12.32
0.69,735.0,294.0,220.5,3.5,0.1,12.5
0.66,759.5,318.5,220.5,3.5,0.1,13.155
0.66,759.5,318.5,220.5,3.5,0.1,13.085
0.66,759.5,318.5,220.5,3.5,0.1,13.165
0.66,759.5,318.5,220.5,3.5,0.1,13.085
0.64,784.0,343.0,220.5,3.5,0.1,17.32
0.64,784.0,343.0,220.5,3.5,0.1,17.259999999999998
0.64,784.0,343.0,220.5,3.5,0.1,17.33
0.64,784.0,343.0,220.5,3.5,0.1,17.245
0.62,808.5,367.5,220.5,3.5,0.1,13.625
0.62,808.5,367.5,220.5,3.5,0.1,13.785
0.62,808.5,367.5,220.5,3.5,0.1,13.62
0.62,808.5,367.5,220.5,3.5,0.1,13.64
0.98,514.5,294.0,110.25,7.0,0.1,24.98
0.98,514.5,294.0,110.25,7.0,0.1,25.21
0.98,514.5,294.0,110.25,7.0,0.1,24.975
0.98,514.5,294.0,110.25,7.0,0.1,25.245
0.9,563.5,318.5,122.5,7.0,0.1,31.105
0.9,563.5,318.5,122.5,7.0,0.1,30.93
0.9,563.5,318.5,122.5,7.0,0.1,29.85
0.9,563.5,318.5,122.5,7.0,0.1,29.36
0.86,588.0,294.0,147.0,7.0,0.1,28.57
0.86,588.0,294.0,147.0,7.0,0.1,28.74
0.86,588.0,294.0,147.0,7.0,0.1,26.395
0.86,588.0,294.0,147.0,7.0,0.1,26.93
0.82,612.5,318.5,147.0,7.0,0.1,25.805
0.82,612.5,318.5,147.0,7.0,0.1,25.69
0.82,612.5,318.5,147.0,7.0,0.1,24.76
0.82,612.5,318.5,147.0,7.0,0.1,24.4
0.79,637.0,343.0,147.0,7.0,0.1,39.45
0.79,637.0,343.0,147.0,7.0,0.1,38.35
0.79,637.0,343.0,147.0,7.0,0.1,36.035
0.79,637.0,343.0,147.0,7.0,0.1,35.49500000000001
0.76,661.5,416.5,122.5,7.0,0.1,33.185
0.76,661.5,416.5,122.5,7.0,0.1,33.695
0.76,661.5,416.5,122.5,7.0,0.1,33.405
0.76,661.5,416.5,122.5,7.0,0.1,33.870000000000005
0.74,686.0,245.0,220.5,3.5,0.1,11.995
0.74,686.0,245.0,220.5,3.5,0.1,11.85
0.74,686.0,245.0,220.5,3.5,0.1,12.0
0.74,686.0,245.0,220.5,3.5,0.1,11.935
0.71,710.5,269.5,220.5,3.5,0.1,12.455
0.71,710.5,269.5,220.5,3.5,0.1,12.225
0.71,710.5,269.5,220.5,3.5,0.1,12.49
0.71,710.5,269.5,220.5,3.5,0.1,12.285
0.69,735.0,294.0,220.5,3.5,0.1,12.83
0.69,735.0,294.0,220.5,3.5,0.1,12.715
0.69,735.0,294.0,220.5,3.5,0.1,12.885
0.69,735.0,294.0,220.5,3.5,0.1,12.77
0.66,759.5,318.5,220.5,3.5,0.1,12.525
0.66,759.5,318.5,220.5,3.5,0.1,12.65
0.66,759.5,318.5,220.5,3.5,0.1,12.56
0.66,759.5,318.5,220.5,3.5,0.1,12.72
0.64,784.0,343.0,220.5,3.5,0.1,17.15
0.64,784.0,343.0,220.5,3.5,0.1,17.27
0.64,784.0,343.0,220.5,3.5,0.1,17.245
0.64,784.0,343.0,220.5,3.5,0.1,17.325
0.62,808.5,367.5,220.5,3.5,0.1,13.385
0.62,808.5,367.5,220.5,3.5,0.1,13.43
0.62,808.5,367.5,220.5,3.5,0.1,13.425
0.62,808.5,367.5,220.5,3.5,0.1,13.31
0.98,514.5,294.0,110.25,7.0,0.1,25.145
0.98,514.5,294.0,110.25,7.0,0.1,24.975
0.98,514.5,294.0,110.25,7.0,0.1,25.11
0.98,514.5,294.0,110.25,7.0,0.1,25.095
0.9,563.5,318.5,122.5,7.0,0.1,29.2
0.9,563.5,318.5,122.5,7.0,0.1,30.98
0.9,563.5,318.5,122.5,7.0,0.1,30.845
0.9,563.5,318.5,122.5,7.0,0.1,29.855
0.86,588.0,294.0,147.0,7.0,0.1,26.805
0.86,588.0,294.0,147.0,7.0,0.1,28.565
0.86,588.0,294.0,147.0,7.0,0.1,28.695
0.86,588.0,294.0,147.0,7.0,0.1,26.42
0.82,612.5,318.5,147.0,7.0,0.1,24.205
0.82,612.5,318.5,147.0,7.0,0.1,25.705
0.82,612.5,318.5,147.0,7.0,0.1,25.58
0.82,612.5,318.5,147.0,7.0,0.1,24.7
0.79,637.0,343.0,147.0,7.0,0.1,35.555
0.79,637.0,343.0,147.0,7.0,0.1,39.595
0.79,637.0,343.0,147.0,7.0,0.1,38.655
0.79,637.0,343.0,147.0,7.0,0.1,36.195
0.76,661.5,416.5,122.5,7.0,0.1,33.595
0.76,661.5,416.5,122.5,7.0,0.1,33.0
0.76,661.5,416.5,122.5,7.0,0.1,33.49
0.76,661.5,416.5,122.5,7.0,0.1,33.18
0.74,686.0,245.0,220.5,3.5,0.1,11.64
0.74,686.0,245.0,220.5,3.5,0.1,11.755
0.74,686.0,245.0,220.5,3.5,0.1,11.64
0.74,686.0,245.0,220.5,3.5,0.1,11.835
0.71,710.5,269.5,220.5,3.5,0.1,12.165
0.71,710.5,269.5,220.5,3.5,0.1,12.4
0.71,710.5,269.5,220.5,3.5,0.1,12.16
0.71,710.5,269.5,220.5,3.5,0.1,12.46
0.69,735.0,294.0,220.5,3.5,0.1,12.735
0.69,735.0,294.0,220.5,3.5,0.1,12.855
0.69,735.0,294.0,220.5,3.5,0.1,12.745
0.69,735.0,294.0,220.5,3.5,0.1,12.965
0.66,759.5,318.5,220.5,3.5,0.1,13.15
0.66,759.5,318.5,220.5,3.5,0.1,13.045
0.66,759.5,318.5,220.5,3.5,0.1,13.165
0.66,759.5,318.5,220.5,3.5,0.1,13.13
0.64,784.0,343.0,220.5,3.5,0.1,17.32
0.64,784.0,343.0,220.5,3.5,0.1,17.22
0.64,784.0,343.0,220.5,3.5,0.1,17.37
0.64,784.0,343.0,220.5,3.5,0.1,17.32
0.62,808.5,367.5,220.5,3.5,0.1,13.61
0.62,808.5,367.5,220.5,3.5,0.1,13.69
0.62,808.5,367.5,220.5,3.5,0.1,13.64
0.62,808.5,367.5,220.5,3.5,0.1,13.735
0.98,514.5,294.0,110.25,7.0,0.1,24.995
0.98,514.5,294.0,110.25,7.0,0.1,25.155
0.98,514.5,294.0,110.25,7.0,0.1,24.955
0.98,514.5,294.0,110.25,7.0,0.1,25.22
0.9,563.5,318.5,122.5,7.0,0.1,29.825
0.9,563.5,318.5,122.5,7.0,0.1,29.3
0.9,563.5,318.5,122.5,7.0,0.1,31.24
0.9,563.5,318.5,122.5,7.0,0.1,31.015
0.86,588.0,294.0,147.0,7.0,0.1,26.425
0.86,588.0,294.0,147.0,7.0,0.1,26.89
0.86,588.0,294.0,147.0,7.0,0.1,28.7
0.86,588.0,294.0,147.0,7.0,0.1,28.865
0.82,612.5,318.5,147.0,7.0,0.1,24.74
0.82,612.5,318.5,147.0,7.0,0.1,24.33
0.82,612.5,318.5,147.0,7.0,0.1,25.885
0.82,612.5,318.5,147.0,7.0,0.1,25.775
0.79,637.0,343.0,147.0,7.0,0.1,36.01000000000001
0.79,637.0,343.0,147.0,7.0,0.1,35.445
0.79,637.0,343.0,147.0,7.0,0.1,39.955
0.79,637.0,343.0,147.0,7.0,0.1,38.37
0.76,661.5,416.5,122.5,7.0,0.1,33.28
0.76,661.5,416.5,122.5,7.0,0.1,33.78
0.76,661.5,416.5,122.5,7.0,0.1,33.05
0.76,661.5,416.5,122.5,7.0,0.1,33.575
0.74,686.0,245.0,220.5,3.5,0.1,12.06
0.74,686.0,245.0,220.5,3.5,0.1,11.905
0.74,686.0,245.0,220.5,3.5,0.1,12.03
0.74,686.0,245.0,220.5,3.5,0.1,11.945
0.71,710.5,269.5,220.5,3.5,0.1,12.48
0.71,710.5,269.5,220.5,3.5,0.1,12.225
0.71,710.5,269.5,220.5,3.5,0.1,12.465
0.71,710.5,269.5,220.5,3.5,0.1,13.79
0.69,735.0,294.0,220.5,3.5,0.1,12.88
0.69,735.0,294.0,220.5,3.5,0.1,12.71
0.69,735.0,294.0,220.5,3.5,0.1,12.785
0.69,735.0,294.0,220.5,3.5,0.1,12.775
0.66,759.5,318.5,220.5,3.5,0.1,12.96
0.66,759.5,318.5,220.5,3.5,0.1,13.075
0.66,759.5,318.5,220.5,3.5,0.1,12.935
0.66,759.5,318.5,220.5,3.5,0.1,13.105
0.64,784.0,343.0,220.5,3.5,0.1,17.2
0.64,784.0,343.0,220.5,3.5,0.1,17.275
0.64,784.0,343.0,220.5,3.5,0.1,17.19
0.64,784.0,343.0,220.5,3.5,0.1,17.325
0.62,808.5,367.5,220.5,3.5,0.1,13.415
0.62,808.5,367.5,220.5,3.5,0.1,13.355
0.62,808.5,367.5,220.5,3.5,0.1,13.395
0.62,808.5,367.5,220.5,3.5,0.1,13.385
0.98,514.5,294.0,110.25,7.0,0.25,28.97
0.98,514.5,294.0,110.25,7.0,0.25,28.97
0.98,514.5,294.0,110.25,7.0,0.25,28.825000000000006
0.98,514.5,294.0,110.25,7.0,0.25,28.95
0.9,563.5,318.5,122.5,7.0,0.25,34.4
0.9,563.5,318.5,122.5,7.0,0.25,33.325
0.9,563.5,318.5,122.5,7.0,0.25,32.77500000000001
0.9,563.5,318.5,122.5,7.0,0.25,34.79
0.86,588.0,294.0,147.0,7.0,0.25,31.76
0.86,588.0,294.0,147.0,7.0,0.25,29.33
0.86,588.0,294.0,147.0,7.0,0.25,29.86
0.86,588.0,294.0,147.0,7.0,0.25,31.695
0.82,612.5,318.5,147.0,7.0,0.25,28.505000000000006
0.82,612.5,318.5,147.0,7.0,0.25,27.555
0.82,612.5,318.5,147.0,7.0,0.25,27.11
0.82,612.5,318.5,147.0,7.0,0.25,28.79
0.79,637.0,343.0,147.0,7.0,0.25,41.235
0.79,637.0,343.0,147.0,7.0,0.25,38.92
0.79,637.0,343.0,147.0,7.0,0.25,38.355
0.79,637.0,343.0,147.0,7.0,0.25,42.28
0.76,661.5,416.5,122.5,7.0,0.25,36.905
0.76,661.5,416.5,122.5,7.0,0.25,36.855
0.76,661.5,416.5,122.5,7.0,0.25,37.18
0.76,661.5,416.5,122.5,7.0,0.25,36.525
0.74,686.0,245.0,220.5,3.5,0.25,13.81
0.74,686.0,245.0,220.5,3.5,0.25,14.0
0.74,686.0,245.0,220.5,3.5,0.25,13.845
0.74,686.0,245.0,220.5,3.5,0.25,13.975
0.71,710.5,269.5,220.5,3.5,0.25,13.995
0.71,710.5,269.5,220.5,3.5,0.25,14.25
0.71,710.5,269.5,220.5,3.5,0.25,14.005
0.71,710.5,269.5,220.5,3.5,0.25,14.22
0.69,735.0,294.0,220.5,3.5,0.25,13.995
0.69,735.0,294.0,220.5,3.5,0.25,14.28
0.69,735.0,294.0,220.5,3.5,0.25,14.105
0.69,735.0,294.0,220.5,3.5,0.25,14.25
0.66,759.5,318.5,220.5,3.5,0.25,14.78
0.66,759.5,318.5,220.5,3.5,0.25,14.725
0.66,759.5,318.5,220.5,3.5,0.25,14.78
0.66,759.5,318.5,220.5,3.5,0.25,14.685
0.64,784.0,343.0,220.5,3.5,0.25,19.315
0.64,784.0,343.0,220.5,3.5,0.25,19.270000000000003
0.64,784.0,343.0,220.5,3.5,0.25,19.305
0.64,784.0,343.0,220.5,3.5,0.25,19.225
0.62,808.5,367.5,220.5,3.5,0.25,15.43
0.62,808.5,367.5,220.5,3.5,0.25,15.535
0.62,808.5,367.5,220.5,3.5,0.25,15.425
0.62,808.5,367.5,220.5,3.5,0.25,15.46
0.98,514.5,294.0,110.25,7.0,0.25,29.145000000000003
0.98,514.5,294.0,110.25,7.0,0.25,29.130000000000006
0.98,514.5,294.0,110.25,7.0,0.25,29.18
0.98,514.5,294.0,110.25,7.0,0.25,29.31
0.9,563.5,318.5,122.5,7.0,0.25,34.010000000000005
0.9,563.5,318.5,122.5,7.0,0.25,32.955
0.9,563.5,318.5,122.5,7.0,0.25,32.55
0.9,563.5,318.5,122.5,7.0,0.25,34.69
0.86,588.0,294.0,147.0,7.0,0.25,31.355
0.86,588.0,294.0,147.0,7.0,0.25,28.880000000000006
0.86,588.0,294.0,147.0,7.0,0.25,29.585
0.86,588.0,294.0,147.0,7.0,0.25,31.46
0.82,612.5,318.5,147.0,7.0,0.25,27.005
0.82,612.5,318.5,147.0,7.0,0.25,26.47
0.82,612.5,318.5,147.0,7.0,0.25,26.05
0.82,612.5,318.5,147.0,7.0,0.25,27.41
0.79,637.0,343.0,147.0,7.0,0.25,41.215
0.79,637.0,343.0,147.0,7.0,0.25,38.8
0.79,637.0,343.0,147.0,7.0,0.25,38.37000000000001
0.79,637.0,343.0,147.0,7.0,0.25,42.475
0.76,661.5,416.5,122.5,7.0,0.25,36.91
0.76,661.5,416.5,122.5,7.0,0.25,36.815
0.76,661.5,416.5,122.5,7.0,0.25,37.07
0.76,661.5,416.5,122.5,7.0,0.25,36.63
0.74,686.0,245.0,220.5,3.5,0.25,13.54
0.74,686.0,245.0,220.5,3.5,0.25,13.775
0.74,686.0,245.0,220.5,3.5,0.25,13.67
0.74,686.0,245.0,220.5,3.5,0.25,13.87
0.71,710.5,269.5,220.5,3.5,0.25,13.62
0.71,710.5,269.5,220.5,3.5,0.25,13.845
0.71,710.5,269.5,220.5,3.5,0.25,13.57
0.71,710.5,269.5,220.5,3.5,0.25,13.905
0.69,735.0,294.0,220.5,3.5,0.25,14.185
0.69,735.0,294.0,220.5,3.5,0.25,14.36
0.69,735.0,294.0,220.5,3.5,0.25,14.195
0.69,735.0,294.0,220.5,3.5,0.25,14.47
0.66,759.5,318.5,220.5,3.5,0.25,14.47
0.66,759.5,318.5,220.5,3.5,0.25,14.39
0.66,759.5,318.5,220.5,3.5,0.25,14.495
0.66,759.5,318.5,220.5,3.5,0.25,14.435
0.64,784.0,343.0,220.5,3.5,0.25,18.805
0.64,784.0,343.0,220.5,3.5,0.25,18.7
0.64,784.0,343.0,220.5,3.5,0.25,18.75
0.64,784.0,343.0,220.5,3.5,0.25,18.77
0.62,808.5,367.5,220.5,3.5,0.25,14.83
0.62,808.5,367.5,220.5,3.5,0.25,15.15
0.62,808.5,367.5,220.5,3.5,0.25,14.87
0.62,808.5,367.5,220.5,3.5,0.25,14.95
0.98,514.5,294.0,110.25,7.0,0.25,29.05
0.98,514.5,294.0,110.25,7.0,0.25,29.17
0.98,514.5,294.0,110.25,7.0,0.25,29.135
0.98,514.5,294.0,110.25,7.0,0.25,29.41
0.9,563.5,318.5,122.5,7.0,0.25,33.99
0.9,563.5,318.5,122.5,7.0,0.25,33.75
0.9,563.5,318.5,122.5,7.0,0.25,32.754999999999995
0.9,563.5,318.5,122.5,7.0,0.25,32.375
0.86,588.0,294.0,147.0,7.0,0.25,30.96
0.86,588.0,294.0,147.0,7.0,0.25,31.165
0.86,588.0,294.0,147.0,7.0,0.25,28.905
0.86,588.0,294.0,147.0,7.0,0.25,29.445
0.82,612.5,318.5,147.0,7.0,0.25,26.735
0.82,612.5,318.5,147.0,7.0,0.25,26.62
0.82,612.5,318.5,147.0,7.0,0.25,26.16
0.82,612.5,318.5,147.0,7.0,0.25,25.79
0.79,637.0,343.0,147.0,7.0,0.25,42.085
0.79,637.0,343.0,147.0,7.0,0.25,41.005
0.79,637.0,343.0,147.0,7.0,0.25,38.785
0.79,637.0,343.0,147.0,7.0,0.25,38.35
0.76,661.5,416.5,122.5,7.0,0.25,36.03
0.76,661.5,416.5,122.5,7.0,0.25,36.515
0.76,661.5,416.5,122.5,7.0,0.25,36.46
0.76,661.5,416.5,122.5,7.0,0.25,36.905
0.74,686.0,245.0,220.5,3.5,0.25,13.145
0.74,686.0,245.0,220.5,3.5,0.25,12.91
0.74,686.0,245.0,220.5,3.5,0.25,13.35
0.74,686.0,245.0,220.5,3.5,0.25,13.225
0.71,710.5,269.5,220.5,3.5,0.25,13.665
0.71,710.5,269.5,220.5,3.5,0.25,13.51
0.71,710.5,269.5,220.5,3.5,0.25,13.835
0.71,710.5,269.5,220.5,3.5,0.25,13.565
0.69,735.0,294.0,220.5,3.5,0.25,13.63
0.69,735.0,294.0,220.5,3.5,0.25,13.420000000000002
0.69,735.0,294.0,220.5,3.5,0.25,13.875
0.69,735.0,294.0,220.5,3.5,0.25,13.645
0.66,759.5,318.5,220.5,3.5,0.25,14.25
0.66,759.5,318.5,220.5,3.5,0.25,14.405
0.66,759.5,318.5,220.5,3.5,0.25,14.44
0.66,759.5,318.5,220.5,3.5,0.25,14.55
0.64,784.0,343.0,220.5,3.5,0.25,18.35
0.64,784.0,343.0,220.5,3.5,0.25,18.48
0.64,784.0,343.0,220.5,3.5,0.25,18.56
0.64,784.0,343.0,220.5,3.5,0.25,18.57
0.62,808.5,367.5,220.5,3.5,0.25,14.4
0.62,808.5,367.5,220.5,3.5,0.25,14.65
0.62,808.5,367.5,220.5,3.5,0.25,14.42
0.62,808.5,367.5,220.5,3.5,0.25,14.17
0.98,514.5,294.0,110.25,7.0,0.25,29.155
0.98,514.5,294.0,110.25,7.0,0.25,29.07
0.98,514.5,294.0,110.25,7.0,0.25,29.17
0.98,514.5,294.0,110.25,7.0,0.25,29.37
0.9,563.5,318.5,122.5,7.0,0.25,32.395
0.9,563.5,318.5,122.5,7.0,0.25,34.405
0.9,563.5,318.5,122.5,7.0,0.25,34.114999999999995
0.9,563.5,318.5,122.5,7.0,0.25,33.22
0.86,588.0,294.0,147.0,7.0,0.25,29.46
0.86,588.0,294.0,147.0,7.0,0.25,31.305
0.86,588.0,294.0,147.0,7.0,0.25,31.505
0.86,588.0,294.0,147.0,7.0,0.25,29.095
0.82,612.5,318.5,147.0,7.0,0.25,25.98
0.82,612.5,318.5,147.0,7.0,0.25,27.195
0.82,612.5,318.5,147.0,7.0,0.25,27.095
0.82,612.5,318.5,147.0,7.0,0.25,26.67
0.79,637.0,343.0,147.0,7.0,0.25,38.13
0.79,637.0,343.0,147.0,7.0,0.25,42.16
0.79,637.0,343.0,147.0,7.0,0.25,41.245
0.79,637.0,343.0,147.0,7.0,0.25,38.69
0.76,661.5,416.5,122.5,7.0,0.25,37.075
0.76,661.5,416.5,122.5,7.0,0.25,36.605
0.76,661.5,416.5,122.5,7.0,0.25,36.93
0.76,661.5,416.5,122.5,7.0,0.25,36.885
0.74,686.0,245.0,220.5,3.5,0.25,13.62
0.74,686.0,245.0,220.5,3.5,0.25,13.77
0.74,686.0,245.0,220.5,3.5,0.25,13.605
0.74,686.0,245.0,220.5,3.5,0.25,13.89
0.71,710.5,269.5,220.5,3.5,0.25,13.515
0.71,710.5,269.5,220.5,3.5,0.25,13.79
0.71,710.5,269.5,220.5,3.5,0.25,13.685
0.71,710.5,269.5,220.5,3.5,0.25,13.96
0.69,735.0,294.0,220.5,3.5,0.25,14.14
0.69,735.0,294.0,220.5,3.5,0.25,14.34
0.69,735.0,294.0,220.5,3.5,0.25,14.25
0.69,735.0,294.0,220.5,3.5,0.25,14.495
0.66,759.5,318.5,220.5,3.5,0.25,14.45
0.66,759.5,318.5,220.5,3.5,0.25,14.295
0.66,759.5,318.5,220.5,3.5,0.25,14.515
0.66,759.5,318.5,220.5,3.5,0.25,14.53
0.64,784.0,343.0,220.5,3.5,0.25,18.32
0.64,784.0,343.0,220.5,3.5,0.25,18.225
0.64,784.0,343.0,220.5,3.5,0.25,18.465
0.64,784.0,343.0,220.5,3.5,0.25,18.26
0.62,808.5,367.5,220.5,3.5,0.25,14.87
0.62,808.5,367.5,220.5,3.5,0.25,15.085
0.62,808.5,367.5,220.5,3.5,0.25,14.84
0.62,808.5,367.5,220.5,3.5,0.25,15.015
0.98,514.5,294.0,110.25,7.0,0.25,29.11
0.98,514.5,294.0,110.25,7.0,0.25,29.175
0.98,514.5,294.0,110.25,7.0,0.25,29.075
0.98,514.5,294.0,110.25,7.0,0.25,29.405
0.9,563.5,318.5,122.5,7.0,0.25,32.69
0.9,563.5,318.5,122.5,7.0,0.25,32.155
0.9,563.5,318.5,122.5,7.0,0.25,34.36
0.9,563.5,318.5,122.5,7.0,0.25,34.04
0.86,588.0,294.0,147.0,7.0,0.25,28.865
0.86,588.0,294.0,147.0,7.0,0.25,29.26
0.86,588.0,294.0,147.0,7.0,0.25,31.23
0.86,588.0,294.0,147.0,7.0,0.25,31.43
0.82,612.5,318.5,147.0,7.0,0.25,26.115
