Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n0012-il-1000000-n5
Airfoil,n0012-il
Reynolds number,1000000
Ncrit,5
Mach,0
Max Cl/Cd,75.4394
Max Cl/Cd alpha,8.5
Url,http://airfoiltools.com/polar/csv?polar=xf-n0012-il-1000000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-12.750,-1.3161,0.01993,0.01424,-0.0145,1.0000,0.0140
-12.500,-1.2980,0.01928,0.01355,-0.0134,1.0000,0.0144
-12.250,-1.2785,0.01870,0.01294,-0.0123,1.0000,0.0149
-12.000,-1.2583,0.01817,0.01238,-0.0114,1.0000,0.0154
-11.750,-1.2374,0.01768,0.01184,-0.0105,1.0000,0.0160
-11.500,-1.2159,0.01721,0.01134,-0.0096,1.0000,0.0165
-11.250,-1.1940,0.01678,0.01086,-0.0088,1.0000,0.0168
-11.000,-1.1728,0.01627,0.01032,-0.0079,1.0000,0.0175
-10.750,-1.1510,0.01581,0.00984,-0.0071,1.0000,0.0182
-10.500,-1.1288,0.01539,0.00940,-0.0062,1.0000,0.0189
-10.250,-1.1063,0.01501,0.00899,-0.0054,1.0000,0.0196
-10.000,-1.0836,0.01466,0.00860,-0.0046,1.0000,0.0202
-9.750,-1.0617,0.01426,0.00819,-0.0037,1.0000,0.0212
-9.500,-1.0398,0.01389,0.00782,-0.0027,1.0000,0.0223
-9.250,-1.0178,0.01357,0.00748,-0.0016,1.0000,0.0233
-9.000,-0.9958,0.01328,0.00716,-0.0006,1.0000,0.0242
-8.750,-0.9743,0.01294,0.00682,0.0006,1.0000,0.0255
-8.500,-0.9529,0.01263,0.00651,0.0018,1.0000,0.0269
-8.250,-0.9313,0.01236,0.00623,0.0029,1.0000,0.0283
-8.000,-0.9005,0.01203,0.00590,0.0021,0.9984,0.0303
-7.750,-0.8690,0.01171,0.00559,0.0011,0.9965,0.0326
-7.500,-0.8368,0.01143,0.00530,0.0000,0.9948,0.0347
-7.250,-0.8051,0.01112,0.00501,-0.0010,0.9929,0.0379
-7.000,-0.7742,0.01085,0.00475,-0.0017,0.9900,0.0410
-6.750,-0.7427,0.01055,0.00448,-0.0027,0.9870,0.0451
-6.500,-0.7107,0.01029,0.00424,-0.0037,0.9840,0.0492
-6.250,-0.6808,0.01003,0.00400,-0.0042,0.9793,0.0545
-6.000,-0.6509,0.00976,0.00377,-0.0047,0.9739,0.0606
-5.750,-0.6204,0.00952,0.00355,-0.0053,0.9686,0.0672
-5.250,-0.5637,0.00904,0.00315,-0.0055,0.9523,0.0847
-5.000,-0.5365,0.00881,0.00296,-0.0054,0.9419,0.0960
-4.750,-0.5098,0.00859,0.00278,-0.0051,0.9300,0.1079
-4.500,-0.4834,0.00838,0.00260,-0.0047,0.9169,0.1219
-4.250,-0.4572,0.00818,0.00243,-0.0043,0.9023,0.1376
-4.000,-0.4309,0.00800,0.00228,-0.0038,0.8864,0.1545
-3.750,-0.4047,0.00782,0.00212,-0.0034,0.8691,0.1731
-3.500,-0.3784,0.00765,0.00198,-0.0031,0.8504,0.1944
-3.250,-0.3519,0.00750,0.00185,-0.0027,0.8303,0.2158
-3.000,-0.3254,0.00736,0.00173,-0.0023,0.8095,0.2384
-2.750,-0.2987,0.00724,0.00162,-0.0021,0.7881,0.2625
-2.500,-0.2720,0.00712,0.00153,-0.0018,0.7656,0.2864
-2.250,-0.2451,0.00703,0.00144,-0.0015,0.7430,0.3111
-2.000,-0.2182,0.00693,0.00137,-0.0013,0.7204,0.3359
-1.750,-0.1910,0.00687,0.00130,-0.0011,0.6968,0.3603
-1.500,-0.1640,0.00680,0.00125,-0.0009,0.6734,0.3859
-1.000,-0.1095,0.00670,0.00116,-0.0006,0.6261,0.4352
-0.750,-0.0821,0.00667,0.00114,-0.0004,0.6023,0.4588
-0.500,-0.0548,0.00664,0.00112,-0.0003,0.5787,0.4830
-0.250,-0.0274,0.00663,0.00110,-0.0001,0.5554,0.5071
0.000,0.0000,0.00662,0.00110,0.0000,0.5313,0.5314
0.250,0.0274,0.00663,0.00110,0.0001,0.5074,0.5554
0.500,0.0548,0.00664,0.00112,0.0003,0.4831,0.5785
0.750,0.0821,0.00667,0.00114,0.0004,0.4590,0.6023
1.000,0.1096,0.00670,0.00116,0.0006,0.4351,0.6261
1.250,0.1367,0.00675,0.00120,0.0007,0.4103,0.6495
1.500,0.1640,0.00680,0.00125,0.0009,0.3850,0.6733
1.750,0.1911,0.00687,0.00130,0.0011,0.3607,0.6966
2.000,0.2182,0.00693,0.00137,0.0013,0.3357,0.7205
2.250,0.2451,0.00703,0.00144,0.0015,0.3111,0.7429
2.500,0.2720,0.00712,0.00153,0.0018,0.2866,0.7657
2.750,0.2987,0.00724,0.00162,0.0021,0.2622,0.7881
3.000,0.3254,0.00736,0.00173,0.0024,0.2384,0.8097
3.250,0.3519,0.00751,0.00185,0.0027,0.2157,0.8303
3.500,0.3784,0.00765,0.00198,0.0031,0.1946,0.8502
3.750,0.4047,0.00782,0.00212,0.0034,0.1730,0.8690
4.000,0.4309,0.00800,0.00228,0.0038,0.1545,0.8865
4.250,0.4572,0.00818,0.00243,0.0043,0.1373,0.9024
4.500,0.4835,0.00838,0.00260,0.0047,0.1222,0.9169
4.750,0.5098,0.00859,0.00278,0.0050,0.1078,0.9299
5.000,0.5365,0.00881,0.00296,0.0054,0.0959,0.9419
5.250,0.5637,0.00904,0.00315,0.0055,0.0847,0.9524
5.750,0.6204,0.00952,0.00356,0.0053,0.0671,0.9686
6.000,0.6509,0.00976,0.00377,0.0047,0.0606,0.9739
6.250,0.6809,0.01003,0.00400,0.0042,0.0545,0.9794
6.500,0.7108,0.01029,0.00424,0.0036,0.0492,0.9840
6.750,0.7428,0.01055,0.00448,0.0026,0.0451,0.9870
7.000,0.7743,0.01085,0.00475,0.0017,0.0410,0.9900
7.250,0.8051,0.01112,0.00501,0.0010,0.0379,0.9929
7.500,0.8369,0.01143,0.00530,-0.0001,0.0347,0.9948
7.750,0.8691,0.01171,0.00559,-0.0012,0.0326,0.9966
8.000,0.9006,0.01203,0.00590,-0.0021,0.0303,0.9985
8.250,0.9312,0.01236,0.00623,-0.0029,0.0283,1.0000
8.500,0.9528,0.01263,0.00651,-0.0017,0.0269,1.0000
8.750,0.9743,0.01294,0.00682,-0.0006,0.0255,1.0000
9.000,0.9957,0.01328,0.00716,0.0006,0.0242,1.0000
9.250,1.0178,0.01357,0.00748,0.0016,0.0233,1.0000
9.500,1.0398,0.01389,0.00782,0.0027,0.0223,1.0000
9.750,1.0617,0.01426,0.00819,0.0036,0.0212,1.0000
10.000,1.0836,0.01466,0.00860,0.0046,0.0202,1.0000
10.250,1.1063,0.01501,0.00899,0.0054,0.0196,1.0000
10.500,1.1288,0.01539,0.00940,0.0062,0.0189,1.0000
10.750,1.1511,0.01581,0.00984,0.0071,0.0182,1.0000
11.000,1.1729,0.01627,0.01031,0.0079,0.0175,1.0000
11.250,1.1942,0.01678,0.01085,0.0088,0.0168,1.0000
11.500,1.2161,0.01721,0.01134,0.0096,0.0165,1.0000
11.750,1.2375,0.01768,0.01185,0.0104,0.0160,1.0000
12.000,1.2585,0.01817,0.01238,0.0113,0.0154,1.0000
12.250,1.2788,0.01870,0.01294,0.0123,0.0149,1.0000
12.500,1.2982,0.01928,0.01355,0.0133,0.0144,1.0000
12.750,1.3164,0.01993,0.01424,0.0145,0.0140,1.0000
13.000,1.3343,0.02057,0.01494,0.0157,0.0137,1.0000
13.250,1.3519,0.02118,0.01561,0.0169,0.0134,1.0000
13.500,1.3675,0.02183,0.01632,0.0184,0.0132,1.0000
13.750,1.3806,0.02252,0.01708,0.0203,0.0129,1.0000
14.000,1.3928,0.02328,0.01790,0.0221,0.0127,1.0000
14.250,1.4043,0.02412,0.01881,0.0239,0.0124,1.0000
14.500,1.4148,0.02507,0.01982,0.0255,0.0122,1.0000
14.750,1.4241,0.02615,0.02096,0.0271,0.0119,1.0000
15.000,1.4322,0.02739,0.02227,0.0284,0.0117,1.0000
15.250,1.4385,0.02885,0.02381,0.0297,0.0115,1.0000
15.500,1.4424,0.03062,0.02566,0.0306,0.0113,1.0000
15.750,1.4465,0.03252,0.02766,0.0312,0.0111,1.0000
16.000,1.4511,0.03450,0.02973,0.0315,0.0110,1.0000
16.250,1.4540,0.03682,0.03215,0.0314,0.0109,1.0000
16.500,1.4551,0.03948,0.03492,0.0309,0.0107,1.0000
16.750,1.4542,0.04256,0.03811,0.0301,0.0106,1.0000
17.000,1.4508,0.04615,0.04182,0.0287,0.0105,1.0000
17.250,1.4442,0.05033,0.04612,0.0270,0.0104,1.0000
17.500,1.4341,0.05518,0.05110,0.0247,0.0103,1.0000
17.750,1.4197,0.06081,0.05687,0.0219,0.0103,1.0000
18.000,1.4004,0.06732,0.06353,0.0186,0.0102,1.0000
18.250,1.3762,0.07477,0.07113,0.0148,0.0102,1.0000
18.500,1.3466,0.08329,0.07981,0.0104,0.0102,1.0000
18.750,1.3115,0.09292,0.08959,0.0054,0.0102,1.0000
19.000,1.2739,0.10324,0.10008,0.0001,0.0103,1.0000
19.250,1.2349,0.11407,0.11107,-0.0055,0.0103,1.0000
